Defining model
Only Conv model trained
Number of epochs 200
epoch-> 0
Iteration-> 166  , Iteration_time-> 1.5008 , Iteration_loss 0.1138
Iteration-> 167  , Iteration_time-> 1.5724 , Iteration_loss 0.1137
Iteration-> 168  , Iteration_time-> 1.5143 , Iteration_loss 0.1139
Iteration-> 169  , Iteration_time-> 1.5661 , Iteration_loss 0.1136
Iteration-> 170  , Iteration_time-> 1.5350 , Iteration_loss 0.1137
Iteration-> 171  , Iteration_time-> 1.5255 , Iteration_loss 0.1137
Iteration-> 172  , Iteration_time-> 1.5328 , Iteration_loss 0.1134
Iteration-> 173  , Iteration_time-> 1.5351 , Iteration_loss 0.1135
Iteration-> 174  , Iteration_time-> 1.5998 , Iteration_loss 0.1134
Iteration-> 175  , Iteration_time-> 1.4996 , Iteration_loss 0.1134
Iteration-> 176  , Iteration_time-> 1.4989 , Iteration_loss 0.1135
Iteration-> 177  , Iteration_time-> 1.4897 , Iteration_loss 0.1132
Iteration-> 178  , Iteration_time-> 1.5168 , Iteration_loss 0.1133
Iteration-> 179  , Iteration_time-> 1.5774 , Iteration_loss 0.1132
Iteration-> 180  , Iteration_time-> 1.5155 , Iteration_loss 0.1131
Iteration-> 181  , Iteration_time-> 1.5184 , Iteration_loss 0.1130
Iteration-> 182  , Iteration_time-> 1.4938 , Iteration_loss 0.1131
Iteration-> 183  , Iteration_time-> 1.5593 , Iteration_loss 0.1130
Iteration-> 184  , Iteration_time-> 1.5278 , Iteration_loss 0.1128
Iteration-> 185  , Iteration_time-> 1.4890 , Iteration_loss 0.1129
Iteration-> 186  , Iteration_time-> 1.5064 , Iteration_loss 0.1130
Iteration-> 187  , Iteration_time-> 1.5027 , Iteration_loss 0.1128
Iteration-> 188  , Iteration_time-> 1.4832 , Iteration_loss 0.1127
Iteration-> 189  , Iteration_time-> 1.4784 , Iteration_loss 0.1128
Iteration-> 190  , Iteration_time-> 1.5705 , Iteration_loss 0.1126
Iteration-> 191  , Iteration_time-> 1.5425 , Iteration_loss 0.1125
Iteration-> 192  , Iteration_time-> 1.5160 , Iteration_loss 0.1125
Iteration-> 193  , Iteration_time-> 1.5219 , Iteration_loss 0.1124
Iteration-> 194  , Iteration_time-> 1.6035 , Iteration_loss 0.1124
Iteration-> 195  , Iteration_time-> 1.5100 , Iteration_loss 0.1124
Iteration-> 196  , Iteration_time-> 1.5372 , Iteration_loss 0.1123
Iteration-> 197  , Iteration_time-> 1.4810 , Iteration_loss 0.1122
Iteration-> 198  , Iteration_time-> 1.5206 , Iteration_loss 0.1122
Iteration-> 199  , Iteration_time-> 1.5206 , Iteration_loss 0.1120
Iteration-> 200  , Iteration_time-> 1.5575 , Iteration_loss 0.1120
Iteration-> 201  , Iteration_time-> 1.5132 , Iteration_loss 0.1120
